Entertainer,Gender (traditional),Birth Year,Breakthrough,Last Work,Year of Death
Adele,F,1988,2008,2016,0
Angelina Jolie,F,1975,1999,2016,0
Aretha Franklin,F,1942,1967,2014,0
Bette Davis,F,1908,1934,1989,1989
Betty White,F,1922,1952,2016,0
Bing Crosby,M,1903,1931,1974,1977
Bob Hope,M,1903,1938,1972,2003
Carol Burnett,F,1933,1959,2016,0
Carole Lombard,F,1908,1934,1942,1942
Carrie Fisher,F,1956,1977,2016,2016
Cary Grant,M,1904,1933,1966,1986
Charlie Chaplin,M,1889,1915,1967,1977
Clara Bow,F,1905,1926,1933,1965
Clark Gable,M,1901,1934,1960,1960
David Letterman,M,1947,1982,2015,0
Debbie Reynolds,F,1932,1952,2006,2016
Denzel Washington,M,1954,1989,2016,0
Dick Van Dyke,M,1925,1961,2015,0
Donald Sutherland,M,1935,1967,2016,0
Dustin Hoffman,M,1937,1967,2016,0
Ed Sullivan,M,1901,1948,1973,1974
Eddie Murphy,M,1961,1980,2016,0
Elton John,M,1947,1972,2016,0
Elvis Presley,M,1935,1956,1977,1977
Frank Sinatra,M,1915,1940,1980,1998
Gene Hackman,M,1930,1967,2004,0
George Michael,M,1963,1984,2004,2016
Gregory Peck,M,1916,1944,1991,2003
Greta Garbo,F,1905,1930,1941,1990
Humphrey Bogart,M,1899,1936,1956,1957
James Dean,M,1931,1953,1955,1955
Jay Leno,M,1950,1992,2014,0
Jennifer Aniston,F,1969,1994,2016,0
Jerry Seinfeld,M,1954,1988,2016,0
Jimmy Page,M,1944,1969,2016,0
Jimmy Stewart,M,1908,1938,1980,1997
Joan Crawford,F,1904,1928,1970,1977
John Lennon,M,1940,1963,1980,1980
John Wayne,M,1907,1939,1976,1979
Johnny Carson,M,1925,1962,1992,2005
Johnny Depp,M,1963,1987,2016,0
Justin Timberlake,M,1981,2000,2016,0
Katherine Hepburn,F,1907,1933,1994,2003
Keifer Sutherland,M,1966,2001,2016,0
Kirk Douglas,M,1916,1949,2004,0
Lady Gaga,F,1986,2008,2016,0
Leonard Bernstein,M,1918,1957,1989,1990
Leonardo DiCaprio,M,1974,1997,2016,0
Louis Armstrong,M,1901,1964,1970,1971
Madonna,F,1958,1984,2015,0
Mariah Carey,F,1969,1990,2014,0
Marlon Brando,M,1924,1951,2001,2004
Mary Tyler Moore,F,1936,1961,2013,0
Meryl Streep,F,1949,1978,2016,0
Mick Jagger,M,1943,1965,2016,0
Morgan Freeman,M,1937,1989,2016,0
Oprah Winfrey,F,1954,1985,2016,0
Paul McCartney,M,1942,1963,2016,0
Paul Newman,M,1925,1958,2005,2008
Peter O'Toole,M,1932,1962,2013,2013
Prince,M,1958,1979,2016,2016
Robert Redford,M,1936,1969,2016,0
Sidney Poitier,M,1927,1955,2008,0
Sly Stone,M,1943,1968,1971,0
Stevie Wonder,M,1950,1963,2005,0
Tom Hanks,M,1956,1984,2016,0
Tony Bennett,M,1926,1951,2016,0
Wayne Newton,M,1942,1972,2016,0
Will Smith,M,1968,1990,2016,0
Willie Nelson,M,1933,1975,2016,0
